episode,reward,steps,finished,offtrack_ratio,tiles_visited
219,-234.9999999999998,50,0,1.0,4
220,-234.9999999999998,50,0,1.0,4
221,-244.9999999999998,50,0,1.0,3
222,-234.9999999999998,50,0,1.0,4
223,-234.9999999999998,50,0,1.0,4
224,-244.9999999999998,50,0,1.0,3
225,-244.9999999999998,50,0,1.0,3
226,-234.99999999999983,50,0,1.0,4
227,-244.9999999999998,50,0,1.0,3
228,-234.9999999999998,50,0,1.0,4
229,-244.9999999999998,50,0,1.0,3
230,-224.9999999999998,50,0,1.0,5
231,-234.9999999999998,50,0,1.0,4
232,-244.9999999999998,50,0,1.0,3
233,-224.99999999999983,50,0,1.0,5
234,-234.99999999999983,50,0,1.0,4
235,-234.99999999999983,50,0,1.0,4
236,-224.9999999999998,50,0,1.0,5
237,-234.99999999999983,50,0,1.0,4
238,-234.9999999999998,50,0,1.0,4
239,-244.9999999999998,50,0,1.0,3
240,-224.99999999999983,50,0,1.0,5
241,-244.9999999999998,50,0,1.0,3
242,-224.9999999999998,50,0,1.0,5
243,-234.9999999999998,50,0,1.0,4
244,-244.9999999999998,50,0,1.0,3
245,-234.99999999999983,50,0,1.0,4
246,-224.99999999999983,50,0,1.0,5
247,-244.99999999999983,50,0,1.0,3
248,-224.9999999999998,50,0,1.0,5
249,-244.9999999999998,50,0,1.0,3
250,-234.9999999999998,50,0,1.0,4
251,-224.99999999999983,50,0,1.0,5
252,-234.99999999999983,50,0,1.0,4
253,-224.9999999999998,50,0,1.0,5
254,-234.99999999999983,50,0,1.0,4
255,-234.9999999999998,50,0,1.0,4
256,-234.99999999999983,50,0,1.0,4
257,-224.99999999999983,50,0,1.0,5
258,-224.99999999999983,50,0,1.0,5
259,-234.9999999999998,50,0,1.0,4
260,-244.9999999999998,50,0,1.0,3
261,-244.9999999999998,50,0,1.0,3
262,-234.9999999999998,50,0,1.0,4
263,-234.9999999999998,50,0,1.0,4
264,-234.9999999999998,50,0,1.0,4
265,-244.9999999999998,50,0,1.0,3
266,-244.9999999999998,50,0,1.0,3
267,-224.99999999999983,50,0,1.0,5
268,-234.9999999999998,50,0,1.0,4
269,-244.9999999999998,50,0,1.0,3
270,-234.99999999999983,50,0,1.0,4
271,-234.99999999999983,50,0,1.0,4
272,-214.9999999999998,50,0,1.0,6
273,-244.9999999999998,50,0,1.0,3
274,-234.99999999999983,50,0,1.0,4
275,-224.99999999999983,50,0,1.0,5
276,-234.9999999999998,50,0,1.0,4
277,-234.9999999999998,50,0,1.0,4
278,-244.9999999999998,50,0,1.0,3
279,-244.99999999999983,50,0,1.0,3
280,-244.9999999999998,50,0,1.0,3
281,-234.9999999999998,50,0,1.0,4
282,-224.9999999999998,50,0,1.0,5
283,-234.9999999999998,50,0,1.0,4
284,-234.9999999999998,50,0,1.0,4
285,-224.9999999999998,50,0,1.0,5
286,-244.9999999999998,50,0,1.0,3
287,-234.9999999999998,50,0,1.0,4
288,-234.9999999999998,50,0,1.0,4
289,-234.9999999999998,50,0,1.0,4
290,-234.99999999999983,50,0,1.0,4
291,-224.9999999999998,50,0,1.0,5
292,-234.9999999999998,50,0,1.0,4
293,-214.9999999999998,50,0,1.0,6
294,-234.9999999999998,50,0,1.0,4
295,-224.99999999999983,50,0,1.0,5
296,-234.99999999999983,50,0,1.0,4
297,-234.99999999999983,50,0,1.0,4
298,-234.9999999999998,50,0,1.0,4
299,-244.9999999999998,50,0,1.0,3
300,-234.9999999999998,50,0,1.0,4
301,-244.9999999999998,50,0,1.0,3
302,-234.99999999999983,50,0,1.0,4
303,-224.9999999999998,50,0,1.0,5
304,-234.9999999999998,50,0,1.0,4
305,-224.99999999999983,50,0,1.0,5
306,-244.9999999999998,50,0,1.0,3
307,-224.99999999999983,50,0,1.0,5
308,-244.9999999999998,50,0,1.0,3
309,-244.9999999999998,50,0,1.0,3
310,-224.9999999999998,50,0,1.0,5
311,-224.9999999999998,50,0,1.0,5
312,-244.99999999999983,50,0,1.0,3
313,-244.9999999999998,50,0,1.0,3
314,-224.9999999999998,50,0,1.0,5
